[2021-04-26 00:00:01]: (C)Ali [, Level 26]: Sapling:
[2021-04-26 00:00:03]: SanoreX [Chilli.*, Level 30]: I go eat (1)Ƭevan
[2021-04-26 00:00:04]:   [, Level 0]: Fearless: HILFE
[2021-04-26 00:00:04]: OP|Supers [, Level 39]: Axandos²:  lass es jz pls
[2021-04-26 00:00:05]: ***  [, Level 0]: '.Kaya ✿' entered and joined the game
[2021-04-26 00:00:07]: Matiteusz [TrRShClNrRs, Level 20]: fake info
[2021-04-26 00:00:08]: Tom [, Level 0]: hahah
[2021-04-26 00:00:09]: (C)Ali [, Level 26]: ERROR,:
[2021-04-26 00:00:10]:   [, Level 0]: .Kaya ✿: BulgarianTee: hi
[2021-04-26 00:00:15]: Sapling [Team trees, Level 41]: OP|Supers: no only tem tre leader
[2021-04-26 00:00:22]: (C)Ali [, Level 26]: ERROR,:
[2021-04-26 00:00:26]: OP|Supers [, Level 39]: Sapling:  but the gun is sapling gun
[2021-04-26 00:00:29]: BulgarianTee [Bulgaria, Level 0]: Axandos: Fearless rape me :(
[2021-04-26 00:00:34]: Keeper.* [Chilli.*, Level 30]: .Kaya ✿: o chui ty tu znowu?
[2021-04-26 00:00:34]: [D]ϻɪɔʜɑʟ [DogParty, Level 21]: Sapling: i am police help me!
[2021-04-26 00:00:40]:   [, Level 0]: Fearless: axx xd
[2021-04-26 00:00:41]: BulgarianTee [Bulgaria, Level 0]: Axandos: im just kid :(
[2021-04-26 00:00:42]: Matiteusz [TrRShClNrRs, Level 20]: ERROR: hello
[2021-04-26 00:00:43]: OP|Supers [, Level 39]: Sapling:  and if i have tripple gun then i can plant very much trees
[2021-04-26 00:00:45]: ERROR [404, Level 76]: heyo
[2021-04-26 00:00:47]: (C)Ali [, Level 26]: Sapling:  whyy
[2021-04-26 00:00:49]: ***  [, Level 0]: 'shzux' changed name to 'drago'
[2021-04-26 00:00:53]: (C)Ali [, Level 26]: .Kaya ✿:  alsana
[2021-04-26 00:00:56]: ***  [, Level 0]: 'drago' changed name to 'noah'
[2021-04-26 00:00:56]:   [, Level 0]: .Kaya ✿: Keeeper.*: ja nie wiem co tu sie robi
[2021-04-26 00:00:56]: BulgarianTee [Bulgaria, Level 0]: XDDDDDDDDD
[2021-04-26 00:00:58]: BulgarianTee [Bulgaria, Level 0]: .Kaya ✿: yo
[2021-04-26 00:01:01]: ***  [, Level 0]: 'noah' changed name to 'Noah'
[2021-04-26 00:01:02]: Sapling [Team trees, Level 41]: Axandos: i dont help stupid
[2021-04-26 00:01:10]: (C)Ali [, Level 26]: .Kaya ✿:  help please
[2021-04-26 00:01:12]: OP|Supers [, Level 39]: Sapling:  i need gun pls
[2021-04-26 00:01:19]: OP|Supers [, Level 39]: PLANTOOO
[2021-04-26 00:01:23]:   [, Level 0]: Yasusi: KAYA
[2021-04-26 00:01:25]: Sapling [Team trees, Level 41]: YESSSSSSSSSSSSSS
[2021-04-26 00:01:29]: BulgarianTee [Bulgaria, Level 0]: STOP
[2021-04-26 00:01:33]: (C)Ali [, Level 26]: Axandos:  help
[2021-04-26 00:01:40]: Bubba :3[Đ] [, Level 0]: BulgarianTee: hey bulgi
[2021-04-26 00:01:41]: ERROR [404, Level 76]: xD
[2021-04-26 00:01:42]: Sapling [Team trees, Level 41]: ERROR: we plantin trees
[2021-04-26 00:01:43]: [D]ϻɪɔʜɑʟ [DogParty, Level 21]: Axandos: help me why i dont wont war and die noo
[2021-04-26 00:01:43]: [D] El patron [FookinLads, Level 24]: PoliceTee:
[2021-04-26 00:01:46]: BulgarianTee [Bulgaria, Level 0]: STOP U WILL TIMEOUT ME
[2021-04-26 00:01:47]: BulgarianTee [Bulgaria, Level 0]: GAY GHOST
[2021-04-26 00:01:51]: BulgarianTee [Bulgaria, Level 0]: hi Noémi
[2021-04-26 00:01:53]: Axandos² [, Level 21]: dont attack ERROR  ctinge .Kaya ✿
[2021-04-26 00:01:55]: iydrss [|TR| Agalar, Level 24]: wtf
[2021-04-26 00:01:56]: T Bag [, Level 0]: autoclicker ?
[2021-04-26 00:01:56]: (C)Ali [, Level 26]: BulgarianTee:
[2021-04-26 00:01:57]: iydrss [|TR| Agalar, Level 24]: i dead to
[2021-04-26 00:01:59]: BulgarianTee [Bulgaria, Level 0]: Noah: and stop call me bulgi
[2021-04-26 00:01:59]: ***  [, Level 0]: '『Jester』' entered and joined the game
[2021-04-26 00:02:00]: [D]ϻɪɔʜɑʟ [DogParty, Level 21]: Axandos: i have jetpack help me
[2021-04-26 00:02:01]: Sapling [Team trees, Level 41]: OP|Supers: EVERYWHERE TREES !!!!!!!!
[2021-04-26 00:02:03]: BulgarianTee [Bulgaria, Level 0]: U WILL TIMEOUT ME GAE
[2021-04-26 00:02:04]: OP|Supers [, Level 39]: YES
[2021-04-26 00:02:07]: OP|Supers [, Level 39]: Xd
[2021-04-26 00:02:09]: iydrss [|TR| Agalar, Level 24]: PoliceTee:
[2021-04-26 00:02:11]: ***  [, Level 0]: 'Badass Magie' entered and joined the game
[2021-04-26 00:02:14]: ***  [, Level 0]: 'ReccoTR' entered and joined the game
[2021-04-26 00:02:16]: OP|Supers [, Level 39]: OK SORRY
[2021-04-26 00:02:18]: Noah [nokama, Level 0]: BulgarianTee: what ?
[2021-04-26 00:02:23]: OP|Supers [, Level 39]: Axandos²:  lass es
[2021-04-26 00:02:23]: ***  [, Level 0]: '§piDDer/\/\an' has left the game
[2021-04-26 00:02:25]: [D]ϻɪɔʜɑʟ [DogParty, Level 21]: Axandos²:
[2021-04-26 00:02:25]: Sapling [Team trees, Level 41]: Axandos: WE ARE PLATIN TREES
[2021-04-26 00:02:27]: BulgarianTee [Bulgaria, Level 0]: Axandos: he spams ghost and my computer is weak and i will crash :(
[2021-04-26 00:02:27]: iydrss [|TR| Agalar, Level 24]: Matiteusz:
[2021-04-26 00:02:29]: [D]ϻɪɔʜɑʟ [DogParty, Level 21]: Axandos²: pls
[2021-04-26 00:02:29]: (C)Ali [, Level 26]: SanoreX:  sa
[2021-04-26 00:02:30]: SanoreX [Chilli.*, Level 30]: (C)Ali: I am currently afk.
[2021-04-26 00:02:32]: Axandos² [, Level 21]: xD
[2021-04-26 00:02:36]: OP|Supers [, Level 39]: sowwy
[2021-04-26 00:02:38]: BulgarianTee [Bulgaria, Level 0]: OP|Supers: gae
[2021-04-26 00:02:46]: Fearless [, Level 40]: ERROR:  brother
[2021-04-26 00:02:47]: Sapling [Team trees, Level 41]: Axandos: stop
[2021-04-26 00:02:50]: ***  [, Level 0]: [D] iydrss finished in: 2 minute(s) 36.04 second(s)
[2021-04-26 00:02:50]: ***  [, Level 0]: New record: 11 minute(s) 58.86 second(s) better.
[2021-04-26 00:02:52]: OP|Supers [, Level 39]: xD
[2021-04-26 00:02:58]: Keeper.* [Chilli.*, Level 30]: BulgarianTee: why are u gae
[2021-04-26 00:02:58]:   [, Level 0]: T Bag: wot
[2021-04-26 00:03:04]: BulgarianTee [Bulgaria, Level 0]: Keeper.*: cuz yes
